ID;URL;NOME FILE;NOME ATTUALE;TESTO ALT;TESTO NEL TAG;FORMATO;STATUS
90;https://www.ansa.it/sito/img/bk_circle_gray_152x152.png;bk_circle_gray_152x152.png;90.png;fromCss;;.png;200
91;https://www.ansa.it/osservatorio_intelligenza_artificiale/;;;;Osservatorio  Intelligenza Artificiale;;
92;https://tpc.googlesyndication.com/safeframe/1-0-38/html/container.html;container.html;;;;;
93;https://www.ansa.it/sito/notizie/topnews/ultimaora_mobile.html;ultimaora_mobile.html;;;Ultimaora;;
94;https://www.ansa.it/sito/img/photo-camera.svg;photo-camera.svg;94.svg;fromCss;;.svg;200
95;https://www.ansa.it/sito/img/ico_blue_photo_32x32.png;ico_blue_photo_32x32.png;95.png;fromCss;;.png;200
96;https://www.ansa.it/industry_4_0/notizie/europa_4_0/index.shtml;index.shtml;;;Europa 4.0;;
97;https://www.ansa.it/sito/img/dot_4x4_green.png;dot_4x4_green.png;97.png;fromCss;;.png;200
98;https://www.ansa.it/sito/notizie/sport/tennis/2021/04/13/tennis-monaco-vincono-anche-fognini-e-cecchinato_2234bdb6-1625-4ce0-882b-8a72fd0e693b.html;tennis-monaco-vincono-anche-fognini-e-cecchinato_2234bdb6-1625-4ce0-882b-8a72fd0e693b.html;;;;;
99;https://www.ansa.it/lombardia/;;;;Lombardia;;
100;https://www.ansa.it/sisma_ricostruzione/;;;;Sisma & Ricostruzione;;
101;https://www.ansa.it/sito/notizie/postit/ILLUMIA/2020/10/15/allassistente-digitale-di-midori-il-contest-startup-illumia_3981743f-1517-431a-b96d-d7ea93d1bd58.html;allassistente-digitale-di-midori-il-contest-startup-illumia_3981743f-1517-431a-b96d-d7ea93d1bd58.html;;;All'assistente digitale di Midori il contest startup Illumia;;
102;https://www.ansa.it/lombardia/notizie/2021/04/13/morti-in-corsia-confermato-ergastolo-per-cazzaniga-_97572920-793b-4d19-b26f-e74b092f5041.html;morti-in-corsia-confermato-ergastolo-per-cazzaniga-_97572920-793b-4d19-b26f-e74b092f5041.html;;;Morti in corsia, confermato l'ergastolo per Cazzaniga;;
103;https://www.ansa.it/sito/videogallery/video_mobile.html;video_mobile.html;;;Video;;
104;https://www.ansa.it/sito/img/ico_event_live.png;ico_event_live.png;104.png;fromCss;;.png;200
105;https://www.ansa.it/sito/img/ico_blue_video_32x32.png;ico_blue_video_32x32.png;105.png;fromCss;;.png;200
106;https://www.ansa.it/sito/notizie/economia/2021/04/12/p.a-brunetta-servono-150.000-assunzioni-lanno_cc1ade0c-47ec-4f26-b3e0-e698e38d0d9a.html;p.a-brunetta-servono-150.000-assunzioni-lanno_cc1ade0c-47ec-4f26-b3e0-e698e38d0d9a.html;;;Brunetta difende concorsi,150.000 assunti l'anno;;
107;https://www.ansa.it/ricerca/ansait/search.shtml?temicaldi=Markus+Soeder;search.shtml?temicaldi=Markus+Soeder;107.jpg;;Markus Soeder;.jpg;200
108;https://www.ansa.it/sito/img/dot_1x4_gray.png;dot_1x4_gray.png;108.png;fromCss;;.png;200
109;https://www.ansa.it/sito/img/bt_add_orange.png;bt_add_orange.png;109.png;fromCss;;.png;200
110;https://www.ansa.it/sito/notizie/mondo/asia/asia.shtml;asia.shtml;;;Asia;;
111;https://www.ansa.it/canale_viaggiart/it/notizie/speciali/index.shtml;index.shtml;;;Speciali;;
112;https://www.ansa.it/mare/notizie/rubriche/crociereetraghetti/crociereetraghetti.shtml;crociereetraghetti.shtml;;;Crociere e Traghetti;;
113;https://www.ansa.it/sito/img/menu_top/cd-search.svg;cd-search.svg;113.svg;fromCss;;.svg;200
114;https://www.ansa.it/sito/photogallery/primopiano/primopiano.shtml;primopiano.shtml;;;FOTO;;
115;https://www.ansa.it/webimages/img_210x145/2021/4/11/ce2383e82e423d93ebd00b514c6c4d2d.jpg;ce2383e82e423d93ebd00b514c6c4d2d.jpg;115.jpg;Un'immagine del principe Filippo sulla finestra di un pub vicino al Castello di Windsor (ANSA);;.jpg;200
116;https://www.ansa.it/eccellenze_italiane/;;;;Eccellenze Italiane;;
117;https://www.ansa.it/sito/img/sep_orange.png;sep_orange.png;117.png;fromCss;;.png;200
118;https://www.ansa.it/sito/img/circle_negative_32x32.png;circle_negative_32x32.png;118.png;fromCss;;.png;200
119;https://www.ansa.it/sito/notizie/cronaca/2021/04/12/mattarella-allinaugurazione-dellanno-accademico-della-cattolica_6ea368ed-8a59-407b-867d-10e717f084f0.html;mattarella-allinaugurazione-dellanno-accademico-della-cattolica_6ea368ed-8a59-407b-867d-10e717f084f0.html;;;Covid, Mattarella: 'Ciascuno di noi dipende da tutti gli altri';;
120;https://www.ansa.it/canale_motori/notizie/postit/Speciale_Pirelli/2021/02/22/mobilita-il-futuro-sara-green-e-cyber_09763b39-0a39-4760-8b1d-d417f7719ab1.html;mobilita-il-futuro-sara-green-e-cyber_09763b39-0a39-4760-8b1d-d417f7719ab1.html;;;Mobilità: il futuro sarà green e cyber;;
121;https://www.ansa.it/webimages/img_210x145/2021/2/11/870baf23dcb7fd763c3cf2c60e2eda06.jpg;870baf23dcb7fd763c3cf2c60e2eda06.jpg;121.jpg; (ANSA);;.jpg;200
122;https://www.ansa.it/webimages/img_135x76/2021/4/13/5e50c5d06bc6f20afd4f561a94306f41.jpg;5e50c5d06bc6f20afd4f561a94306f41.jpg;122.jpg;;;.jpg;200
123;https://www.ansa.it/sito/img/ico_sconti_16x16.png;ico_sconti_16x16.png;123.png;fromCss;;.png;200
124;https://www.ansa.it/webimages/img_300x200/2020/11/10/2b6c189943e7a38c49aff08ddf651708.jpg;2b6c189943e7a38c49aff08ddf651708.jpg;124.jpg; (ANSA);;.jpg;200
125;https://www.ansa.it/canale_terraegusto/notizie/cibo_e_salute/index.shtml;index.shtml;;;Cibo&Salute;;
126;https://www.ansa.it/canale_motori/notizie/sicurezza/sicurezza.shtml;sicurezza.shtml;;;Sicurezza;;
127;https://www.ansa.it/emiliaromagna/;;;;E. Romagna;;
128;https://www.ansa.it/canale_ambiente/videogallery/video.shtml;video.shtml;;;VIDEO;;
129;https://www.ansa.it/sito/img/bk_header.png;bk_header.png;129.png;fromCss;;.png;200
130;https://www.ansa.it/sito/videogallery/spettacolo/2021/04/11/siamo-serie-guida-ai-tesori-nascosti-dello-streaming_33afdc7e-6943-4b91-9b7d-1e884222d0f3.html;siamo-serie-guida-ai-tesori-nascosti-dello-streaming_33afdc7e-6943-4b91-9b7d-1e884222d0f3.html;;;Video. Siamo serie: guida ai tesori nascosti dello streaming;;
131;https://www.ansa.it/webimages/img_210x145/2021/4/12/45fa5a622138dea8d4efde173cbf6b98.jpg;45fa5a622138dea8d4efde173cbf6b98.jpg;131.jpg; (ANSA);;.jpg;200
