ID;TAG NAME;URL;NOME FILE;NOME ATTUALE;TESTO ALT;HREF;TESTO NEL TAG;FORMATO;STATUS
385;ul;;;;;;JOIN LIFE COLLEZIONEDONNAUOMOBAMBINIBambinaBambinoNeonataNeonatoMiniIMPEGNIFORNITORIPRODOTTICURA DELL'ABBIGLIAMENTORACCOLTA ABITINEGOZISOSTEGNO ALLA COMUNITÀEARTH HOURRELAZIONE ANNUALE;;
386;li;;;;;;JOIN LIFE COLLEZIONEDONNAUOMOBAMBINIBambinaBambinoNeonataNeonatoMini;;
387;a;;;;;#;JOIN LIFE COLLEZIONE;;
388;li;;;;;;Chemisier;;
389;a;;;;;https://www.zara.com/it/it/man-trend-27-l1921.html;Rossetti liquidi;;
390;a;;;;;https://www.zara.com/it/it/kids-girl-trend-6-l1922.html;Moda mare;;
391;a;;;;;https://www.zara.com/it/it/bambini-bambina-scarpe-scarpe-l418.html;Scarpe;;
392;a;;;;;https://www.zara.com/it/it/bambini-bambina-scarpe-sneakers-l420.html;Sportive;;
393;a;;;;;https://www.zara.com/it/it/donna-moda-mare-l1052.html;COSTUMI | MARE;;
394;li;;;;;;GIACCHE;;
395;a;;;;;https://www.zara.com/it/it/donna-giubbotti-l1114.html;GIACCHE;;
396;ul;;;;;;Visualizza TuttoGiaccheGiacche Camicia;;
397;a;;;;;https://www.zara.com/it/it/donna-giubbotti-l1114.html;Visualizza Tutto;;
398;li;;;;;;Giacche;;
399;a;;;;;https://www.zara.com/it/it/uomo-maglieria-maniche-corte-l698.html;Maniche Corte;;
400;a;;;;;https://www.zara.com/it/it/uomo-trend-1-l835.html;SET COORDINATI;;
401;li;;;;;;ABITI;;
402;a;;;;;https://www.zara.com/it/it/uomo-abiti-l808.html;ABITI;;
403;a;;;;;https://www.zara.com/it/it/uomo-scarpe-l769.html;SCARPE;;
404;ul;;;;;;Vedi tuttoPelleSportiveSandali | EspadrillasMocassiniScarpeStivaliJet foamPantofoleSPECIAL PRICES;;
405;a;;;;;https://www.zara.com/it/it/woman-beauty-face-l4240.html;Face;;
406;span;;;;;;COLLECTION;;
407;ul;;;;;;View AllLabbraVisualizza TuttoLipstickRossetti liquidiREFILLEyesFaceVisualizza TuttoBronzerHighlighterBlushCheek PaletteRefillNailsBRUSHES;;
408;li;;;;;;View All;;
409;li;;;;;;VESTITO A COSTE TIE-DYE17,95 EUR;;
410;a;;;;;https://www.zara.com/it/it/vestito-a-coste-tie-dye-p06208605.html;;;
411;a;;;;;https://www.zara.com/it/it/vestito-a-coste-tie-dye-p06208605.html;VESTITO A COSTE TIE-DYE;;
412;span;;;;;;VESTITO A COSTE TIE-DYE;;
413;li;;;;;;VESTITO LIMONI22,95 EURVESTITO LIMONI22,95 EUR;;
414;li;;;;;;VESTITO LIMONI22,95 EUR;;
415;a;;;;;https://www.zara.com/it/it/vestito-limoni-p00219631.html;;;
416;a;;;;;https://www.zara.com/it/it/vestito-limoni-p00219631.html;VESTITO LIMONI;;
417;span;;;;;;VESTITO LIMONI;;
418;li;;;;;;VESTITO JACQUARD PANNELLI25,95 EURVESTITO JACQUARD PANNELLI25,95 EUR;;
419;script;https://static.zara.net/stdstatic/1.215.0-b.57/js/v2/bundles/r-xmedia.js;r-xmedia.js;;;;;;
420;li;;;;;;NUOVOTUTA IN LINO A CULOTTE25,95 EUR;;
421;a;;;;;https://www.zara.com/it/it/tuta-in-lino-a-culotte-p06162071.html;;;
422;a;;;;;https://www.zara.com/it/it/tuta-in-lino-a-culotte-p06162071.html;TUTA IN LINO A CULOTTE;;
423;span;;;;;;TUTA IN LINO A CULOTTE;;
424;li;;;;;;VESTITO IN SPUGNA CON STAMPA17,95 EUR;;
425;a;;;;;https://www.zara.com/it/it/vestito-in-spugna-con-stampa-p01165797.html;;;
426;a;;;;;https://www.zara.com/it/it/vestito-in-spugna-con-stampa-p01165797.html;VESTITO IN SPUGNA CON STAMPA;;
